customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
4641-DRMIF,2023-04-01,Paid,2024-03-31,Premium,Annual,,,21.19,913.0,46,0,Meera,Nepal,Kathmandu,Male,2010-10-02,2023-02-01,N,27.0,1.0
5654-RYLEV,2021-09-19,Paid,2021-10-19,Basic,Monthly,,,7.84,369.0,77,0,Meera,India,Maharashtra,Female,2007-10-08,2024-12-18,N,75.0,3.0
6305-SCITV,2024-09-26,Referral,2025-09-26,Basic,Annual,,,7.53,211.0,74,0,Karan,India,Telangana,Male,1996-02-22,2026-01-23,N,94.0,1.0
4365-UVKXH,2025-04-26,Organic,2026-04-26,Standard,Annual,,,17.68,,98,0,Arjun,India,Punjab,Female,2005-03-13,2023-02-08,N,13.0,1.0
2413-RQDVF,2026-05-26,Organic,2027-05-26,Standard,Annual,,,14.82,694.0,92,0,Ishita,India,Meghalaya,Male,1978-01-05,2026-01-19,Y,43.0,2.0
8052-AUUUR,2023-12-29,Referral,2024-01-28,Premium,Monthly,,,22.97,1879.0,13,0,Vivaan,India,Gujarat,Male,1997-09-29,2025-06-11,N,29.0,3.0
4727-SHUOL,2024-10-14,,2024-11-13,Standard,Monthly,2026-05-14,Not Enough Content,14.01,886.0,64,1,Neha,India,Gujarat,Female,1997-04-08,2025-12-10,N,97.0,3.0
5067-OADGC,2022-12-26,Paid,2023-01-25,Basic,Monthly,2023-08-23,Too Expensive,4.99,406.0,33,1,Pooja,India,Rajasthan,Male,2003-08-13,2024-12-20,N,85.0,1.0
4409-RRMWO,2025-12-05,Paid,2026-01-04,Standard,Monthly,,,12.51,1031.0,21,0,Vikram,India,Tamil Nadu,Male,1989-03-02,2024-05-15,N,37.0,1.0
0813-TOQOO,2021-06-23,Organic,2021-07-23,Premium,Monthly,2021-06-25,Switched To Competitor,23.81,1270.0,13,1,Neha,India,Punjab,Male,1971-01-04,2026-05-24,N,48.0,1.0
0927-OUHPA,2021-06-01,Organic,2021-07-01,Basic,Monthly,2023-01-06,Service Quality,7.1,548.0,2,1,Aarav,India,Maharashtra,Female,1991-08-18,2024-08-06,Y,21.0,1.0
3490-LZFHK,2021-12-12,Refferal,2022-01-11,Premium,Monthly,,,24.95,1641.0,37,0,Nisha,India,Rajasthan,Male,1975-05-27,2026-06-24,Y,18.0,4.0
9925-WAGVB,2022-03-02,,2022-04-01,Standard,Monthly,,,11.66,684.0,89,0,Ananya,India,Kerala,Female,1988-12-16,2024-10-03,N,10.0,2.0
8559-HXHLR,2021-09-14,Organic,2021-10-14,Standard,Monthly,2021-09-10,Too Expensive,14.63,1095.0,54,1,Ananya,India,Rajasthan,Female,1982-11-26,2025-08-23,N,60.0,2.0
1283-ONUZR,2022-09-11,Referral,2022-10-11,Premium,,,,21.8,1590.0,86,0,Priya,India,Uttar Pradesh,Male,1999-12-29,2023-12-11,N,66.0,1.0
4105-KKVIE,2024-11-24,Organic,2025-11-24,Standard,Annual,,,14.07,601.0,26,0,Aarav,India,Meghalaya,Female,2003-04-25,,,,
3358-ACCUS,2021-12-24,Paid,2022-01-23,Premium,,,,19.81,1219.0,78,0,Karan,India,Tamil Nadu,Female,1990-06-10,2026-06-17,N,26.0,1.0
6974-MSEXN,2022-01-09,Paid,2022-02-08,Premium,Monthly,,,25.24,998.0,95,0,Nisha,India,Delhi,Female,1976-05-18,2026-06-03,N,99.0,1.0
9381-DMSML,2024-03-02,Referral,2024-04-01,Premium,Monthly,,,22.94,1198.0,10,0,Sanjay,India,West Bengal,Male,1995-01-08,2026-01-14,Y,15.0,2.0
1681-JGHRQ,2024-04-25,Paid,2024-05-25,Premium,Monthly,2024-11-14,Too Expensive,24.75,1426.0,76,1,Meera,India,Delhi,Male,2005-04-25,2026-05-11,Y,93.0,1.0
6080-JYCID,2024-07-23,Paid,2025-07-23,Basic,Annual,,,5.14,587.0,6,0,Aarav,India,Rajasthan,Male,1981-07-29,2025-09-23,N,100.0,5.0
3404-ZJXMS,2026-01-03,Paid,2026-02-02,Premium,Monthly,2026-06-30,Poor Support,25.26,1174.0,3,1,Karan,India,Maharashtra,Male,1987-03-30,2023-06-18,N,18.0,1.0
4586-GTZGU,2022-10-11,Paid,2022-11-10,Standard,Monthly,,,16.65,936.0,74,0,Pooja,India,Karnataka,Male,1990-05-15,2024-12-01,N,58.0,2.0
2628-SULTH,2025-01-09,Organic,2025-02-08,Basic,Monthly,,,5.73,895.0,91,0,Vivaan,India,West Bengal,Male,1987-11-19,2025-05-04,Y,41.0,2.0
0814-CLXDL,2023-10-10,Referral,2023-11-09,Standard,Monthly,,,16.11,724.0,45,0,Ananya,India,Uttar Pradesh,Male,1972-01-18,2025-11-12,Y,5.0,2.0
7046-FSHVP,2024-06-18,Organic,2025-06-18,Premium,Annual,,,24.42,1270.0,17,0,Meera,India,Maharashtra,Male,1985-02-07,2023-08-16,N,10.0,1.0
5479-EMWAT,2024-11-16,Organic,2025-11-16,Basic,Annual,,,7.41,394.0,1,0,Aarav,India,Gujarat,Female,1991-06-11,2025-09-11,N,22.0,2.0
4939-SRLIQ,2026-05-26,Paid,2026-06-25,Standard,Monthly,,,14.48,698.0,50,0,Riya,India,Tamil Nadu,Male,1988-12-15,2024-12-05,N,43.0,2.0
1422-PCQQC,2023-04-14,Organic,2023-05-14,Standard,,2023-12-19,Too Expensive,18.95,776.0,100,1,Sanjay,India,Maharashtra,Female,1983-05-13,2025-03-12,N,69.0,2.0
7579-KUBEM,2021-03-12,Organic,2021-04-11,Standard,Monthly,2022-07-10,Service Quality,15.16,558.0,81,1,Karan,India,Rajasthan,Female,1990-03-05,2026-05-14,Y,37.0,2.0
1901-IRDRC,2023-01-04,Organic,2024-01-04,Basic,Annual,,,6.39,547.0,52,0,Meera,India,Punjab,Male,1976-09-03,2025-08-21,Y,93.0,1.0
1771-PUEHY,2021-01-22,Paid,2021-02-21,Basic,Monthly,2024-01-10,Too Expensive,9.06,293.0,97,1,Sanjay,Nepal,Kathmandu,Male,1971-01-07,2023-04-06,N,5.0,1.0
9896-PLJPP,2026-06-30,Referral,2027-06-30,Premium,,,,21.5,968.0,70,0,Ishita,India,Karnataka,Female,1990-01-09,2024-08-15,N,35.0,5.0
2964-ADYKM,2022-03-04,Organic,2022-04-03,Premium,Monthly,,,23.35,1755.0,25,0,Amit,Nepal,Kathmandu,Male,1987-07-16,2026-01-11,Y,97.0,2.0
4683-UBCHM,2022-12-07,Paid,2023-12-07,Standard,Annual,2024-10-11,Service Quality,12.96,934.0,8,1,Kavya,India,Nagaland,Female,2000-12-13,2025-05-29,Y,33.0,3.0
6718-MLYEO,2022-02-18,Referral,2022-03-20,Standard,Monthly,,,10.64,868.0,91,0,Aditya,India,Rajasthan,Female,2000-12-22,2024-01-12,N,92.0,2.0
5432-MUGYI,2024-05-22,Paid,2024-06-21,Basic,Monthly,2025-02-20,Poor Streaming Quality,8.13,792.0,38,1,Riya,India,Haryana,Female,1991-05-13,2026-03-27,N,22.0,2.0
5460-NWLHA,2023-02-03,Organic,2023-03-05,Basic,Monthly,,,10.32,425.0,72,0,Amit,India,Rajasthan,Male,1993-03-21,2025-12-26,Y,72.0,2.0
3651-VAXOD,2023-02-18,Paid,2023-03-20,Standard,Monthly,2026-02-05,Forgot To Cancel Trial,15.79,,26,1,Ishita,India,Telangana,Female,1976-09-03,2026-01-30,N,73.0,5.0
3038-OICRR,2026-03-31,Referral,2027-03-31,Basic,Annual,,,6.35,,20,0,Pooja,India,Maharashtra,Female,1971-03-14,2025-08-30,Y,64.0,2.0
1209-HGRSS,2023-12-02,Organic,2024-01-01,Premium,Monthly,,,22.79,2095.0,7,0,Kavya,India,Nagaland,Female,1980-01-31,2023-05-19,N,56.0,1.0
9388-TICPX,2023-09-06,Refferal,2023-10-06,Standard,Monthly,,,15.12,511.0,12,0,Kavya,India,Gujarat,Male,1975-07-17,2025-05-06,N,70.0,3.0
9751-FGADO,2024-11-11,Organic,2025-11-11,Basic,Annual,,,8.68,132.0,49,0,Amit,India,Punjab,Female,2010-04-21,2025-12-31,N,66.0,2.0
5478-JIVLV,2024-12-09,Organic,2025-01-08,Standard,Monthly,,,13.03,831.0,86,0,Aarav,India,Delhi,Male,2010-02-25,2024-11-17,Y,36.0,2.0
9632-IFYQH,2025-10-15,Organic,2025-11-14,Premium,Monthly,,,23.36,1587.0,18,0,Aarav,India,Rajasthan,Female,1972-01-06,2024-01-04,N,21.0,2.0
6227-NXGZY,2024-09-01,Organic,2024-10-01,Basic,Monthly,2025-08-07,Service Quality,5.52,514.0,76,1,Rohan,India,Tamil Nadu,Male,2002-02-07,2025-08-08,N,80.0,2.0
1826-ENBHL,2025-10-21,Referral,2025-11-20,Premium,Monthly,,,20.77,1420.0,87,0,Riya,India,Tamil Nadu,Male,1994-07-11,2026-04-19,N,70.0,3.0
9693-ZDXCT,2024-05-14,Paid,2024-06-13,Basic,Monthly,,,7.71,80.0,16,0,Sneha,India,Rajasthan,Female,1984-10-23,2023-07-05,N,19.0,1.0
8459-XFXDN,2022-06-28,Referral,2022-07-28,Standard,Monthly,,,15.8,194.0,76,0,Kavya,India,Maharashtra,Male,1982-02-18,2024-01-31,Y,34.0,2.0
4707-IAUIR,2021-07-25,Referral,2022-07-25,Standard,Annual,,,16.32,620.0,17,0,Pooja,India,Haryana,Female,1985-05-12,2023-10-01,Y,20.0,2.0
4115-JXCTT,2026-05-22,Organic,2026-06-21,Standard,Monthly,2026-06-25,Not Enough Content,13.71,917.0,79,1,Aarav,India,Rajasthan,Male,1995-08-19,2025-03-16,N,100.0,1.0
3814-GAYYG,2021-02-01,Organic,2021-03-03,Standard,Monthly,,,14.49,1137.0,10,0,Arjun,India,Uttar Pradesh,Female,1998-12-13,2026-06-01,Y,37.0,6.0
0342-DBVXD,2023-12-21,Refferal,2024-12-20,Standard,Annual,,,15.44,938.0,5,0,Rohan,India,Rajasthan,Male,1992-02-24,2024-01-27,Y,39.0,1.0
7472-EJPSW,2023-10-26,Organic,2024-10-25,Premium,Annual,,,22.82,1609.0,29,0,Riya,Nepal,Kathmandu,Female,2010-06-12,2025-10-27,N,82.0,1.0
0470-FHIZU,2025-06-25,Referral,2026-06-25,Basic,Annual,,,4.99,20.0,55,0,Amit,India,Rajasthan,Female,1976-03-11,2025-11-26,Y,72.0,3.0
3220-ZMNLD,2021-03-06,Refferal,2021-04-05,Basic,Monthly,,,7.22,76.0,95,0,Amit,India,Telangana,Male,2007-04-08,2025-07-13,Y,46.0,1.0
9344-AEFHD,2024-08-22,Paid,2024-09-21,Basic,Monthly,,,8.63,454.0,81,0,Aarav,India,Punjab,Female,2007-11-05,2025-10-14,N,34.0,3.0
0203-RZDHN,2023-09-09,Organic,2024-09-08,Standard,Annual,2025-01-06,Poor Support,11.39,1063.0,3,1,Sanjay,India,Gujarat,Male,2005-02-26,2024-12-31,N,97.0,2.0
9275-STPKF,2025-03-08,Organic,2026-03-08,Basic,Annual,2026-02-03,Too Expensive,8.54,296.0,9,1,Vivaan,India,Uttar Pradesh,Female,2009-01-02,2023-09-25,N,9.0,2.0
8645-UASCT,2025-10-10,Paid,2025-11-09,Basic,Monthly,2026-07-10,Service Quality,5.94,732.0,73,1,Vivaan,India,Delhi,Male,1990-01-15,2023-05-14,N,99.0,1.0
8262-DLDOY,2021-03-03,Referral,2021-04-02,Premium,Monthly,,,21.93,1581.0,94,0,Aditya,India,Haryana,Male,1986-08-12,2024-10-17,N,11.0,3.0
0830-KZHDM,2023-11-04,Referral,2024-11-03,Premium,Annual,,,21.57,1566.0,28,0,Priya,India,Kerala,Male,1998-11-21,2025-09-03,N,42.0,1.0
5095-RIYNH,2023-11-11,Organic,2023-12-11,Basic,Monthly,2024-05-23,Poor Support,8.02,399.0,90,1,Priya,India,Tamil Nadu,Female,1974-03-01,2023-04-01,N,49.0,2.0
9602-YMAPO,2023-12-15,Organic,2024-12-14,Basic,Annual,2024-04-12,Service Quality,8.46,192.0,18,1,Nisha,India,Meghalaya,Male,2002-05-13,2026-03-02,N,60.0,3.0
1502-QVCSD,2025-04-27,Paid,2026-04-27,Standard,,2026-08-14,Forgot To Cancel Trial,14.04,1050.0,80,1,Neha,Nepal,Kathmandu,Male,1970-07-20,2025-06-01,N,45.0,1.0
7493-KAZEP,2023-11-20,Paid,2023-12-20,Basic,Monthly,2025-11-24,Poor Streaming Quality,4.99,208.0,70,1,Sneha,India,Uttar Pradesh,Male,1984-01-26,2025-04-11,N,58.0,2.0
1834-YTULM,2024-05-28,Referral,2024-06-27,Premium,Monthly,2025-08-11,Forgot To Cancel Trial,24.09,1474.0,99,1,Riya,India,Karnataka,Male,1980-06-07,,,,
6351-UWARC,2021-02-13,Organic,2022-02-13,Standard,Annual,2021-09-17,Too Expensive,13.81,807.0,79,1,Aditya,Nepal,Kathmandu,Female,2006-06-04,2025-07-12,N,77.0,2.0
2896-VGUMG,2025-04-19,Organic,2026-04-19,Standard,Annual,2026-03-13,Service Quality,13.17,540.0,62,1,Ishita,India,Karnataka,Male,2000-05-28,2026-03-29,N,98.0,2.0
3358-NTPYW,2026-03-09,Organic,2026-04-08,Premium,Monthly,,,20.78,1539.0,13,0,Sanjay,India,Haryana,Female,1989-04-18,2023-06-25,N,38.0,1.0
7538-PHKDJ,2024-07-10,Organic,2025-07-10,Basic,Annual,2026-05-17,Poor Support,7.44,318.0,18,1,Karan,India,Telangana,Female,1972-02-10,2024-02-02,N,95.0,1.0
9265-LCQZW,2021-06-06,Organic,2021-07-06,Basic,Monthly,,,6.53,493.0,30,0,Arjun,India,Haryana,Female,1985-07-17,2024-01-04,Y,8.0,1.0
2757-LNGGG,2025-06-03,Organic,2025-07-03,Standard,Monthly,2026-05-26,Switched To Competitor,13.7,847.0,95,1,Rohan,Nepal,Kathmandu,Female,1987-04-12,2026-03-21,N,5.0,2.0
9944-TVVYC,2021-06-25,Paid,2022-06-25,Standard,Annual,,,18.05,696.0,59,0,Meera,India,Delhi,Female,1972-03-18,2023-02-02,N,60.0,1.0
8818-BMPJD,2024-11-04,Organic,2024-12-04,Standard,Monthly,,,13.2,740.0,5,0,Ishita,India,Gujarat,Male,1995-11-19,2023-05-18,N,32.0,1.0
1942-VIIYD,2025-06-10,Organic,2026-06-10,Basic,Annual,,,4.99,639.0,63,0,Karan,India,Haryana,Female,1998-09-07,2025-06-26,N,40.0,1.0
9153-XPEEH,2025-12-22,Organic,2026-01-21,Premium,Monthly,,,23.8,,5,0,Arjun,India,Gujarat,Female,1984-04-02,2023-12-23,N,76.0,3.0
5783-DLDOA,2025-07-25,Paid,2025-08-24,Standard,Monthly,,,14.73,1051.0,60,0,Kavya,India,Tamil Nadu,Female,2010-05-16,2023-09-27,N,60.0,2.0
7096-BFEVB,2026-07-19,Referral,2026-08-18,Basic,Monthly,,,7.65,820.0,8,0,Neha,India,Tamil Nadu,Female,1981-06-21,2025-07-27,N,19.0,5.0
4305-PNRUK,2023-09-02,Paid,2024-09-01,Premium,,,,,1426.0,72,0,Karan,India,Maharashtra,Female,2001-05-03,2025-11-02,N,95.0,3.0
8285-IZNTW,2021-04-03,Paid,2022-04-03,Standard,Annual,,,15.05,740.0,87,0,Sanjay,India,Haryana,Male,2001-06-02,2024-07-01,Y,64.0,1.0
7930-WNBME,2022-03-19,Organic,2023-03-19,Premium,Annual,,,25.03,1494.0,8,0,Vikram,India,Karnataka,Female,1998-08-19,,,,
8892-GFGQO,2022-05-25,Paid,2022-06-24,Standard,Monthly,,,10.88,825.0,4,0,Aditya,India,Uttar Pradesh,Male,2011-01-07,2025-11-10,N,89.0,2.0
9488-KHBAJ,2023-04-29,Organic,2023-05-29,Basic,Monthly,,,5.52,20.0,96,0,Rahul,India,Kerala,Female,1989-01-28,2024-09-09,N,32.0,1.0
9259-NXCCV,2022-02-11,Paid,2023-02-11,Standard,Annual,,,14.7,552.0,60,0,Ishita,India,Maharashtra,Male,1989-08-23,2023-05-27,N,52.0,1.0
1088-BKYRC,2023-05-12,Paid,2023-06-11,,Monthly,,,13.67,1016.0,52,0,Karan,India,Nagaland,Female,1979-11-05,2024-12-04,N,33.0,1.0
8374-VUXGZ,2021-10-04,Organic,2022-10-04,Basic,Annual,2026-01-12,Poor Support,7.2,450.0,59,1,Riya,India,Nagaland,Female,1992-09-14,2025-01-18,N,8.0,2.0
3222-UPUQQ,2025-10-31,Organic,2025-11-30,Standard,Monthly,,,12.14,678.0,45,0,Sanjay,India,Rajasthan,Female,1993-03-16,2023-11-11,N,55.0,1.0
6171-UTDVN,2023-12-16,Organic,2024-01-15,Basic,Monthly,,,4.99,759.0,76,0,Sneha,India,Delhi,Female,1997-04-20,2025-03-09,N,32.0,2.0
3246-NZWVM,2023-11-18,Organic,2023-12-18,Standard,Monthly,,,13.93,1104.0,59,0,Amit,India,Tamil Nadu,Female,1999-02-22,2024-04-03,N,21.0,1.0
7845-KRQGG,2024-11-26,Refferal,2025-11-26,Basic,Annual,2025-04-22,Service Quality,5.33,217.0,30,1,Amit,India,Rajasthan,Male,1998-10-29,2026-04-30,Y,39.0,1.0
0633-DLMEK,2022-04-28,Refferal,2022-05-28,Basic,Monthly,,,6.06,491.0,11,0,Kavya,India,Maharashtra,Male,1980-02-18,2023-09-15,Y,48.0,2.0
6050-GIJNJ,2026-05-08,Organic,2027-05-08,Premium,Annual,,,26.69,1465.0,65,0,Karan,India,Kerala,Female,1986-06-30,,,,
7375-ILJER,2023-04-10,Paid,2024-04-09,Basic,Annual,2024-08-06,Forgot To Cancel Trial,9.27,460.0,68,1,Karan,India,Maharashtra,Female,1972-04-06,,,,
2372-HUYRX,2022-04-03,Paid,2022-05-03,Standard,Monthly,2025-04-04,Poor Streaming Quality,11.8,787.0,91,1,Riya,India,Meghalaya,Male,1994-10-26,2024-01-21,N,84.0,1.0
8544-MUILN,2021-04-27,Organic,2021-05-27,Standard,Monthly,,,14.49,767.0,29,0,Amit,India,Nagaland,Female,1998-04-14,2024-03-05,Y,87.0,2.0
9604-WMQFU,2024-03-15,Refferal,2025-03-15,Standard,Annual,2024-06-07,Not Enough Content,12.8,741.0,34,1,Arjun,India,Tamil Nadu,Female,1994-01-21,2026-01-23,Y,65.0,4.0
5540-NTQBH,2023-08-27,Paid,2023-09-26,Basic,Monthly,2025-11-24,Too Expensive,5.3,604.0,87,1,Neha,India,Punjab,Female,1981-06-23,2025-01-01,N,6.0,1.0
1786-TAFPS,2022-01-18,Refferal,2022-02-17,Basic,Monthly,,,8.37,429.0,30,0,Meera,India,Delhi,Female,1993-02-15,2024-06-08,N,48.0,1.0
5044-WXDYP,2023-11-24,Referral,2023-12-24,Standard,Monthly,,,14.02,1140.0,3,0,Sneha,India,Telangana,Female,1999-03-13,,,,
6370-CQSPC,2022-05-19,Organic,2023-05-19,Standard,Annual,,,12.3,865.0,95,0,Ishita,India,Nagaland,Female,1980-02-28,2025-01-17,N,49.0,1.0
5243-YSDYY,2022-05-06,Referral,2022-06-05,Standard,Monthly,,,16.51,644.0,4,0,Vivaan,India,West Bengal,Female,2002-11-24,2024-08-25,N,56.0,1.0
1713-UKPLU,2022-01-19,Referral,2022-02-18,Standard,Monthly,2024-04-24,Poor Support,13.51,,100,1,Meera,India,Uttar Pradesh,Female,1978-05-27,2025-04-28,N,56.0,1.0
9965-UYYCG,2025-03-25,Organic,2026-03-25,Basic,Annual,2025-10-24,Poor Streaming Quality,4.99,20.0,64,1,Arjun,India,Rajasthan,Male,2006-01-10,2024-06-02,N,47.0,1.0
7224-PBCNQ,2022-09-26,Organic,2022-10-26,Standard,Monthly,2023-08-14,Poor Support,11.59,887.0,14,1,Nisha,India,Rajasthan,Male,2010-01-26,2024-05-12,Y,43.0,2.0
1697-EDOAO,2024-06-22,Refferal,2025-06-22,Standard,Annual,2024-10-18,Poor Streaming Quality,12.28,838.0,96,1,Sanjay,India,Punjab,Female,1992-11-03,2023-11-06,Y,99.0,1.0
4771-MRNST,2025-01-18,Paid,2025-02-17,Basic,Monthly,,,8.48,258.0,44,0,Ananya,India,Delhi,Male,1970-10-18,2024-10-19,N,75.0,1.0
9202-UNMGP,2022-05-06,Referral,2023-05-06,Premium,Annual,,,19.43,985.0,19,0,Sanjay,India,Gujarat,Male,1992-06-22,,,,
1411-YVDUD,2026-05-22,Organic,2026-06-21,Basic,Monthly,,,6.56,886.0,38,0,Aditya,India,Haryana,Female,2009-09-05,2024-06-06,N,52.0,2.0
7218-CMRSK,2024-08-26,Referral,2024-09-25,Basic,Monthly,2025-02-18,Poor Streaming Quality,7.24,466.0,63,1,Vivaan,India,West Bengal,Female,2000-09-28,2023-06-04,N,64.0,1.0
9217-UFRSI,2023-03-10,Referral,2023-04-09,Standard,Monthly,,,15.11,833.0,98,0,Karan,India,Delhi,Male,2009-04-12,2023-02-03,N,96.0,1.0
7387-XVTQH,2025-05-31,Organic,2025-06-30,Standard,Monthly,,,14.89,765.0,2,0,Aditya,India,Delhi,Male,2006-05-04,2026-07-20,N,68.0,2.0
7956-JNIIE,2026-04-08,Organic,2027-04-08,Standard,Annual,,,12.51,569.0,58,0,Karan,India,Tamil Nadu,Female,1973-02-27,2026-07-06,N,28.0,2.0
9612-DCYOL,2022-06-29,Paid,2022-07-29,Premium,Monthly,2025-11-22,Poor Support,19.62,1736.0,44,1,Riya,Nepal,Kathmandu,Female,1998-05-16,,,,
7380-JDSEO,2023-05-17,Referral,2023-06-16,Premium,Monthly,,,25.9,1510.0,37,0,Sneha,India,Punjab,Female,1993-10-17,2026-01-01,N,38.0,3.0
